Facility (Host_description), Count
c416-011.stampede2.tacc.utexas.edu,1
c416-021.stampede2.tacc.utexas.edu,1
c416-022.stampede2.tacc.utexas.edu,1
c416-042.stampede2.tacc.utexas.edu,1
c416-053.stampede2.tacc.utexas.edu,2
c416-063.stampede2.tacc.utexas.edu,1
c416-073.stampede2.tacc.utexas.edu,1
c416-094.stampede2.tacc.utexas.edu,1
c416-101.stampede2.tacc.utexas.edu,1
c416-102.stampede2.tacc.utexas.edu,1
c416-123.stampede2.tacc.utexas.edu,1
c416-124.stampede2.tacc.utexas.edu,1
c416-131.stampede2.tacc.utexas.edu,1
c416-132.stampede2.tacc.utexas.edu,1
c416-133.stampede2.tacc.utexas.edu,1
c417-003.stampede2.tacc.utexas.edu,1
c417-012.stampede2.tacc.utexas.edu,1
c417-013.stampede2.tacc.utexas.edu,1
c417-021.stampede2.tacc.utexas.edu,1
c417-022.stampede2.tacc.utexas.edu,1
c417-062.stampede2.tacc.utexas.edu,1
c417-091.stampede2.tacc.utexas.edu,2
c417-101.stampede2.tacc.utexas.edu,2
c417-102.stampede2.tacc.utexas.edu,1
c417-104.stampede2.tacc.utexas.edu,1
c417-121.stampede2.tacc.utexas.edu,1
c417-131.stampede2.tacc.utexas.edu,1
c417-132.stampede2.tacc.utexas.edu,1
c417-134.stampede2.tacc.utexas.edu,1
c418-001.stampede2.tacc.utexas.edu,2
c418-011.stampede2.tacc.utexas.edu,1
c418-032.stampede2.tacc.utexas.edu,2
c418-044.stampede2.tacc.utexas.edu,1
c418-052.stampede2.tacc.utexas.edu,2
c418-054.stampede2.tacc.utexas.edu,1
c418-063.stampede2.tacc.utexas.edu,1
c418-064.stampede2.tacc.utexas.edu,1
c418-072.stampede2.tacc.utexas.edu,1
c418-083.stampede2.tacc.utexas.edu,2
c418-084.stampede2.tacc.utexas.edu,1
c418-112.stampede2.tacc.utexas.edu,1
c418-121.stampede2.tacc.utexas.edu,1
c418-122.stampede2.tacc.utexas.edu,1
c418-124.stampede2.tacc.utexas.edu,1
c419-012.stampede2.tacc.utexas.edu,1
c419-022.stampede2.tacc.utexas.edu,1
c419-052.stampede2.tacc.utexas.edu,1
c419-053.stampede2.tacc.utexas.edu,2
c419-054.stampede2.tacc.utexas.edu,1
c419-062.stampede2.tacc.utexas.edu,2
c419-064.stampede2.tacc.utexas.edu,1
c419-101.stampede2.tacc.utexas.edu,1
c419-113.stampede2.tacc.utexas.edu,2
c419-132.stampede2.tacc.utexas.edu,1
c420-002.stampede2.tacc.utexas.edu,1
c420-003.stampede2.tacc.utexas.edu,1
c420-012.stampede2.tacc.utexas.edu,1
c420-042.stampede2.tacc.utexas.edu,1
c420-062.stampede2.tacc.utexas.edu,2
c420-071.stampede2.tacc.utexas.edu,1
c420-082.stampede2.tacc.utexas.edu,1
c420-101.stampede2.tacc.utexas.edu,1
c420-104.stampede2.tacc.utexas.edu,1
c420-111.stampede2.tacc.utexas.edu,1
c420-114.stampede2.tacc.utexas.edu,1
c420-122.stampede2.tacc.utexas.edu,1
c420-132.stampede2.tacc.utexas.edu,1
c420-133.stampede2.tacc.utexas.edu,1
c421-012.stampede2.tacc.utexas.edu,1
c421-014.stampede2.tacc.utexas.edu,1
c421-022.stampede2.tacc.utexas.edu,1
c421-034.stampede2.tacc.utexas.edu,1
c421-041.stampede2.tacc.utexas.edu,1
c421-053.stampede2.tacc.utexas.edu,1
c421-071.stampede2.tacc.utexas.edu,2
c421-073.stampede2.tacc.utexas.edu,1
c421-091.stampede2.tacc.utexas.edu,1
c421-101.stampede2.tacc.utexas.edu,1
c421-102.stampede2.tacc.utexas.edu,1
c421-134.stampede2.tacc.utexas.edu,1
c422-004.stampede2.tacc.utexas.edu,2
c422-014.stampede2.tacc.utexas.edu,1
c422-033.stampede2.tacc.utexas.edu,1
c422-051.stampede2.tacc.utexas.edu,1
c422-052.stampede2.tacc.utexas.edu,1
c422-084.stampede2.tacc.utexas.edu,1
c422-094.stampede2.tacc.utexas.edu,1
c422-113.stampede2.tacc.utexas.edu,1
c422-122.stampede2.tacc.utexas.edu,1
c422-132.stampede2.tacc.utexas.edu,1
c422-134.stampede2.tacc.utexas.edu,1
c423-001.stampede2.tacc.utexas.edu,1
c423-013.stampede2.tacc.utexas.edu,1
c423-014.stampede2.tacc.utexas.edu,1
c423-042.stampede2.tacc.utexas.edu,1
c423-053.stampede2.tacc.utexas.edu,1
c423-071.stampede2.tacc.utexas.edu,1
c423-083.stampede2.tacc.utexas.edu,1
c423-084.stampede2.tacc.utexas.edu,2
c423-091.stampede2.tacc.utexas.edu,1
c423-102.stampede2.tacc.utexas.edu,1
c423-123.stampede2.tacc.utexas.edu,1
c424-003.stampede2.tacc.utexas.edu,1
c424-004.stampede2.tacc.utexas.edu,1
c424-013.stampede2.tacc.utexas.edu,1
c424-073.stampede2.tacc.utexas.edu,1
c424-084.stampede2.tacc.utexas.edu,1
c424-101.stampede2.tacc.utexas.edu,1
c424-124.stampede2.tacc.utexas.edu,1
c425-013.stampede2.tacc.utexas.edu,1
c425-024.stampede2.tacc.utexas.edu,1
c425-031.stampede2.tacc.utexas.edu,1
c425-041.stampede2.tacc.utexas.edu,1
c425-051.stampede2.tacc.utexas.edu,1
c425-052.stampede2.tacc.utexas.edu,1
c425-054.stampede2.tacc.utexas.edu,1
c425-063.stampede2.tacc.utexas.edu,1
c425-071.stampede2.tacc.utexas.edu,1
c425-081.stampede2.tacc.utexas.edu,1
c425-091.stampede2.tacc.utexas.edu,1
c425-102.stampede2.tacc.utexas.edu,1
c425-111.stampede2.tacc.utexas.edu,1
c425-131.stampede2.tacc.utexas.edu,1
c426-011.stampede2.tacc.utexas.edu,1
c426-012.stampede2.tacc.utexas.edu,1
c426-024.stampede2.tacc.utexas.edu,1
c426-042.stampede2.tacc.utexas.edu,2
c426-054.stampede2.tacc.utexas.edu,1
c426-103.stampede2.tacc.utexas.edu,1
c426-111.stampede2.tacc.utexas.edu,1
c426-122.stampede2.tacc.utexas.edu,1
c426-123.stampede2.tacc.utexas.edu,1
c426-134.stampede2.tacc.utexas.edu,1
c427-013.stampede2.tacc.utexas.edu,2
c427-023.stampede2.tacc.utexas.edu,1
c427-043.stampede2.tacc.utexas.edu,1
c427-044.stampede2.tacc.utexas.edu,1
c427-051.stampede2.tacc.utexas.edu,1
c427-053.stampede2.tacc.utexas.edu,1
c427-054.stampede2.tacc.utexas.edu,1
c427-061.stampede2.tacc.utexas.edu,1
c427-063.stampede2.tacc.utexas.edu,1
c427-073.stampede2.tacc.utexas.edu,1
c427-083.stampede2.tacc.utexas.edu,1
c427-092.stampede2.tacc.utexas.edu,1
c427-112.stampede2.tacc.utexas.edu,1
c428-023.stampede2.tacc.utexas.edu,1
c428-094.stampede2.tacc.utexas.edu,1
c428-104.stampede2.tacc.utexas.edu,1
c428-114.stampede2.tacc.utexas.edu,2
c428-132.stampede2.tacc.utexas.edu,1
c428-133.stampede2.tacc.utexas.edu,1
c429-031.stampede2.tacc.utexas.edu,2
c429-034.stampede2.tacc.utexas.edu,1
c429-044.stampede2.tacc.utexas.edu,1
c429-061.stampede2.tacc.utexas.edu,1
c429-084.stampede2.tacc.utexas.edu,1
c429-101.stampede2.tacc.utexas.edu,1
c429-131.stampede2.tacc.utexas.edu,1
c429-133.stampede2.tacc.utexas.edu,2
c430-002.stampede2.tacc.utexas.edu,1
c430-013.stampede2.tacc.utexas.edu,1
c430-054.stampede2.tacc.utexas.edu,1
c430-061.stampede2.tacc.utexas.edu,1
c430-084.stampede2.tacc.utexas.edu,1
c430-102.stampede2.tacc.utexas.edu,1
c430-123.stampede2.tacc.utexas.edu,1
c430-124.stampede2.tacc.utexas.edu,1
c430-133.stampede2.tacc.utexas.edu,1
c431-061.stampede2.tacc.utexas.edu,1
c431-102.stampede2.tacc.utexas.edu,1
c431-123.stampede2.tacc.utexas.edu,1
c431-131.stampede2.tacc.utexas.edu,1
c432-001.stampede2.tacc.utexas.edu,1
c432-032.stampede2.tacc.utexas.edu,1
c432-072.stampede2.tacc.utexas.edu,1
c432-101.stampede2.tacc.utexas.edu,1
c432-102.stampede2.tacc.utexas.edu,1
c432-103.stampede2.tacc.utexas.edu,1
c432-111.stampede2.tacc.utexas.edu,1
c433-004.stampede2.tacc.utexas.edu,1
c433-013.stampede2.tacc.utexas.edu,1
c433-071.stampede2.tacc.utexas.edu,2
c433-082.stampede2.tacc.utexas.edu,1
c433-112.stampede2.tacc.utexas.edu,1
c433-132.stampede2.tacc.utexas.edu,1
c434-011.stampede2.tacc.utexas.edu,1
c434-052.stampede2.tacc.utexas.edu,1
c434-053.stampede2.tacc.utexas.edu,1
c434-054.stampede2.tacc.utexas.edu,1
c435-012.stampede2.tacc.utexas.edu,1
c435-044.stampede2.tacc.utexas.edu,1
c435-063.stampede2.tacc.utexas.edu,1
c435-071.stampede2.tacc.utexas.edu,1
c435-092.stampede2.tacc.utexas.edu,1
c435-101.stampede2.tacc.utexas.edu,1
c435-104.stampede2.tacc.utexas.edu,1
c435-123.stampede2.tacc.utexas.edu,1
c436-001.stampede2.tacc.utexas.edu,1
c436-014.stampede2.tacc.utexas.edu,1
c436-033.stampede2.tacc.utexas.edu,1
c436-044.stampede2.tacc.utexas.edu,1
c436-112.stampede2.tacc.utexas.edu,1
c436-121.stampede2.tacc.utexas.edu,2
c437-003.stampede2.tacc.utexas.edu,1
c437-031.stampede2.tacc.utexas.edu,3
c437-102.stampede2.tacc.utexas.edu,1
c437-134.stampede2.tacc.utexas.edu,2
c438-011.stampede2.tacc.utexas.edu,1
c438-012.stampede2.tacc.utexas.edu,1
c438-023.stampede2.tacc.utexas.edu,1
c438-024.stampede2.tacc.utexas.edu,1
c438-072.stampede2.tacc.utexas.edu,1
c438-103.stampede2.tacc.utexas.edu,1
c438-121.stampede2.tacc.utexas.edu,1
c439-004.stampede2.tacc.utexas.edu,1
c439-011.stampede2.tacc.utexas.edu,1
c439-012.stampede2.tacc.utexas.edu,1
c439-021.stampede2.tacc.utexas.edu,1
c439-032.stampede2.tacc.utexas.edu,1
c439-052.stampede2.tacc.utexas.edu,1
c439-063.stampede2.tacc.utexas.edu,1
c439-101.stampede2.tacc.utexas.edu,1
c439-111.stampede2.tacc.utexas.edu,1
c439-133.stampede2.tacc.utexas.edu,1
c440-001.stampede2.tacc.utexas.edu,2
c440-003.stampede2.tacc.utexas.edu,1
c440-014.stampede2.tacc.utexas.edu,1
c440-091.stampede2.tacc.utexas.edu,1
c440-092.stampede2.tacc.utexas.edu,1
c440-122.stampede2.tacc.utexas.edu,1
c441-041.stampede2.tacc.utexas.edu,1
c441-062.stampede2.tacc.utexas.edu,1
c441-091.stampede2.tacc.utexas.edu,1
c441-092.stampede2.tacc.utexas.edu,1
c441-094.stampede2.tacc.utexas.edu,1
c441-103.stampede2.tacc.utexas.edu,1
c441-112.stampede2.tacc.utexas.edu,1
c441-122.stampede2.tacc.utexas.edu,1
c441-123.stampede2.tacc.utexas.edu,1
c441-132.stampede2.tacc.utexas.edu,1
c442-002.stampede2.tacc.utexas.edu,1
c442-011.stampede2.tacc.utexas.edu,1
c442-051.stampede2.tacc.utexas.edu,1
c442-081.stampede2.tacc.utexas.edu,1
c442-103.stampede2.tacc.utexas.edu,1
c442-104.stampede2.tacc.utexas.edu,1
c442-112.stampede2.tacc.utexas.edu,1
c442-113.stampede2.tacc.utexas.edu,1
c442-132.stampede2.tacc.utexas.edu,1
c443-011.stampede2.tacc.utexas.edu,1
c443-012.stampede2.tacc.utexas.edu,1
c443-053.stampede2.tacc.utexas.edu,1
c443-062.stampede2.tacc.utexas.edu,1
c443-082.stampede2.tacc.utexas.edu,1
c444-013.stampede2.tacc.utexas.edu,1
c444-061.stampede2.tacc.utexas.edu,1
c444-082.stampede2.tacc.utexas.edu,1
c444-083.stampede2.tacc.utexas.edu,2
c444-093.stampede2.tacc.utexas.edu,2
c444-122.stampede2.tacc.utexas.edu,1
c444-131.stampede2.tacc.utexas.edu,1
c445-014.stampede2.tacc.utexas.edu,1
c445-022.stampede2.tacc.utexas.edu,1
c445-094.stampede2.tacc.utexas.edu,2
c445-114.stampede2.tacc.utexas.edu,1
c445-122.stampede2.tacc.utexas.edu,1
c445-133.stampede2.tacc.utexas.edu,1
c445-134.stampede2.tacc.utexas.edu,1
c446-002.stampede2.tacc.utexas.edu,1
c446-003.stampede2.tacc.utexas.edu,1
c446-004.stampede2.tacc.utexas.edu,1
c446-051.stampede2.tacc.utexas.edu,1
c446-092.stampede2.tacc.utexas.edu,1
c446-132.stampede2.tacc.utexas.edu,1
c447-011.stampede2.tacc.utexas.edu,1
c447-024.stampede2.tacc.utexas.edu,1
c447-043.stampede2.tacc.utexas.edu,1
c447-051.stampede2.tacc.utexas.edu,1
c448-054.stampede2.tacc.utexas.edu,1
c448-112.stampede2.tacc.utexas.edu,2
c449-011.stampede2.tacc.utexas.edu,1
c449-024.stampede2.tacc.utexas.edu,1
c449-032.stampede2.tacc.utexas.edu,1
c449-074.stampede2.tacc.utexas.edu,1
c449-081.stampede2.tacc.utexas.edu,2
c449-123.stampede2.tacc.utexas.edu,1
c449-124.stampede2.tacc.utexas.edu,1
c449-133.stampede2.tacc.utexas.edu,2
c450-001.stampede2.tacc.utexas.edu,1
c450-044.stampede2.tacc.utexas.edu,1
c450-082.stampede2.tacc.utexas.edu,1
c450-091.stampede2.tacc.utexas.edu,1
c450-104.stampede2.tacc.utexas.edu,1
c450-114.stampede2.tacc.utexas.edu,1
c451-003.stampede2.tacc.utexas.edu,1
c451-024.stampede2.tacc.utexas.edu,1
c451-053.stampede2.tacc.utexas.edu,1
c451-084.stampede2.tacc.utexas.edu,1
c451-123.stampede2.tacc.utexas.edu,1
c452-062.stampede2.tacc.utexas.edu,1
c452-092.stampede2.tacc.utexas.edu,1
c452-114.stampede2.tacc.utexas.edu,1
c453-042.stampede2.tacc.utexas.edu,1
c453-051.stampede2.tacc.utexas.edu,1
c453-064.stampede2.tacc.utexas.edu,1
c453-082.stampede2.tacc.utexas.edu,1
c453-091.stampede2.tacc.utexas.edu,1
c453-133.stampede2.tacc.utexas.edu,1
c454-001.stampede2.tacc.utexas.edu,1
c454-002.stampede2.tacc.utexas.edu,1
c454-013.stampede2.tacc.utexas.edu,1
c454-091.stampede2.tacc.utexas.edu,1
c454-113.stampede2.tacc.utexas.edu,1
c456-001.stampede2.tacc.utexas.edu,15
c456-002.stampede2.tacc.utexas.edu,14
c456-003.stampede2.tacc.utexas.edu,14
c456-004.stampede2.tacc.utexas.edu,15
c456-011.stampede2.tacc.utexas.edu,14
c456-012.stampede2.tacc.utexas.edu,16
c456-013.stampede2.tacc.utexas.edu,14
c456-014.stampede2.tacc.utexas.edu,13
c456-021.stampede2.tacc.utexas.edu,14
c456-022.stampede2.tacc.utexas.edu,13
c456-023.stampede2.tacc.utexas.edu,16
c456-024.stampede2.tacc.utexas.edu,13
c456-031.stampede2.tacc.utexas.edu,13
c456-032.stampede2.tacc.utexas.edu,13
c456-033.stampede2.tacc.utexas.edu,13
c456-034.stampede2.tacc.utexas.edu,12
c456-041.stampede2.tacc.utexas.edu,14
c456-042.stampede2.tacc.utexas.edu,12
c456-043.stampede2.tacc.utexas.edu,13
c456-044.stampede2.tacc.utexas.edu,13
c456-051.stampede2.tacc.utexas.edu,12
c456-052.stampede2.tacc.utexas.edu,12
c456-053.stampede2.tacc.utexas.edu,10
c456-054.stampede2.tacc.utexas.edu,15
c456-061.stampede2.tacc.utexas.edu,14
c456-062.stampede2.tacc.utexas.edu,14
c456-063.stampede2.tacc.utexas.edu,12
c456-064.stampede2.tacc.utexas.edu,11
c456-071.stampede2.tacc.utexas.edu,12
c456-072.stampede2.tacc.utexas.edu,10
c456-073.stampede2.tacc.utexas.edu,12
c456-074.stampede2.tacc.utexas.edu,11
c456-081.stampede2.tacc.utexas.edu,12
c456-082.stampede2.tacc.utexas.edu,11
c456-083.stampede2.tacc.utexas.edu,10
c456-084.stampede2.tacc.utexas.edu,13
c456-091.stampede2.tacc.utexas.edu,15
c456-092.stampede2.tacc.utexas.edu,9
c456-093.stampede2.tacc.utexas.edu,11
c456-094.stampede2.tacc.utexas.edu,16
c456-101.stampede2.tacc.utexas.edu,4
c456-102.stampede2.tacc.utexas.edu,7
c456-103.stampede2.tacc.utexas.edu,6
c456-104.stampede2.tacc.utexas.edu,3
c456-111.stampede2.tacc.utexas.edu,6
c456-112.stampede2.tacc.utexas.edu,4
c456-113.stampede2.tacc.utexas.edu,3
c456-114.stampede2.tacc.utexas.edu,3
c456-121.stampede2.tacc.utexas.edu,4
c456-122.stampede2.tacc.utexas.edu,6
c456-123.stampede2.tacc.utexas.edu,7
c456-124.stampede2.tacc.utexas.edu,4
c456-131.stampede2.tacc.utexas.edu,4
c456-132.stampede2.tacc.utexas.edu,4
c456-133.stampede2.tacc.utexas.edu,6
c456-134.stampede2.tacc.utexas.edu,5
c457-002.stampede2.tacc.utexas.edu,1
c457-034.stampede2.tacc.utexas.edu,1
c457-094.stampede2.tacc.utexas.edu,1
c457-103.stampede2.tacc.utexas.edu,1
c458-042.stampede2.tacc.utexas.edu,1
c459-013.stampede2.tacc.utexas.edu,1
c459-034.stampede2.tacc.utexas.edu,1
c459-101.stampede2.tacc.utexas.edu,1
c459-102.stampede2.tacc.utexas.edu,1
c459-114.stampede2.tacc.utexas.edu,1
c459-133.stampede2.tacc.utexas.edu,1
c464-121.stampede2.tacc.utexas.edu,1
c465-001.stampede2.tacc.utexas.edu,1
c465-081.stampede2.tacc.utexas.edu,1
c465-094.stampede2.tacc.utexas.edu,1
c468-041.stampede2.tacc.utexas.edu,1
c468-072.stampede2.tacc.utexas.edu,1
c469-021.stampede2.tacc.utexas.edu,1
c469-034.stampede2.tacc.utexas.edu,1
c469-092.stampede2.tacc.utexas.edu,1
c470-021.stampede2.tacc.utexas.edu,1
c470-064.stampede2.tacc.utexas.edu,1
c472-003.stampede2.tacc.utexas.edu,1
c472-052.stampede2.tacc.utexas.edu,1
c472-063.stampede2.tacc.utexas.edu,1
c472-094.stampede2.tacc.utexas.edu,1
c472-123.stampede2.tacc.utexas.edu,1
c472-133.stampede2.tacc.utexas.edu,1
c473-034.stampede2.tacc.utexas.edu,1
c473-073.stampede2.tacc.utexas.edu,1
c473-082.stampede2.tacc.utexas.edu,1
c474-012.stampede2.tacc.utexas.edu,1
c474-062.stampede2.tacc.utexas.edu,1
c474-073.stampede2.tacc.utexas.edu,1
c474-094.stampede2.tacc.utexas.edu,1
c475-034.stampede2.tacc.utexas.edu,1
c475-054.stampede2.tacc.utexas.edu,1
c475-061.stampede2.tacc.utexas.edu,1
c475-064.stampede2.tacc.utexas.edu,1
c475-071.stampede2.tacc.utexas.edu,1
c475-073.stampede2.tacc.utexas.edu,1
c476-001.stampede2.tacc.utexas.edu,2
c476-002.stampede2.tacc.utexas.edu,6
c476-004.stampede2.tacc.utexas.edu,2
c476-011.stampede2.tacc.utexas.edu,1
c476-012.stampede2.tacc.utexas.edu,2
c476-013.stampede2.tacc.utexas.edu,2
c476-014.stampede2.tacc.utexas.edu,2
c476-021.stampede2.tacc.utexas.edu,2
c476-022.stampede2.tacc.utexas.edu,1
c476-023.stampede2.tacc.utexas.edu,1
c476-031.stampede2.tacc.utexas.edu,1
c476-032.stampede2.tacc.utexas.edu,2
c476-033.stampede2.tacc.utexas.edu,4
c476-034.stampede2.tacc.utexas.edu,5
c476-041.stampede2.tacc.utexas.edu,2
c476-043.stampede2.tacc.utexas.edu,2
c476-044.stampede2.tacc.utexas.edu,1
c476-052.stampede2.tacc.utexas.edu,2
c476-053.stampede2.tacc.utexas.edu,2
c476-054.stampede2.tacc.utexas.edu,5
c476-061.stampede2.tacc.utexas.edu,2
c476-062.stampede2.tacc.utexas.edu,1
c476-063.stampede2.tacc.utexas.edu,5
c476-064.stampede2.tacc.utexas.edu,4
c476-071.stampede2.tacc.utexas.edu,1
c476-072.stampede2.tacc.utexas.edu,5
c476-073.stampede2.tacc.utexas.edu,3
c476-074.stampede2.tacc.utexas.edu,1
c476-081.stampede2.tacc.utexas.edu,3
c476-082.stampede2.tacc.utexas.edu,1
c476-083.stampede2.tacc.utexas.edu,2
c476-084.stampede2.tacc.utexas.edu,1
c476-091.stampede2.tacc.utexas.edu,1
c476-092.stampede2.tacc.utexas.edu,2
c476-093.stampede2.tacc.utexas.edu,3
c476-094.stampede2.tacc.utexas.edu,3
c476-101.stampede2.tacc.utexas.edu,4
c476-103.stampede2.tacc.utexas.edu,4
c476-104.stampede2.tacc.utexas.edu,1
c476-111.stampede2.tacc.utexas.edu,3
c476-112.stampede2.tacc.utexas.edu,2
c476-113.stampede2.tacc.utexas.edu,2
c476-114.stampede2.tacc.utexas.edu,1
c476-121.stampede2.tacc.utexas.edu,3
c476-122.stampede2.tacc.utexas.edu,3
c476-123.stampede2.tacc.utexas.edu,1
c476-124.stampede2.tacc.utexas.edu,3
c476-131.stampede2.tacc.utexas.edu,1
c476-132.stampede2.tacc.utexas.edu,1
c476-133.stampede2.tacc.utexas.edu,5
c476-134.stampede2.tacc.utexas.edu,1
c477-001.stampede2.tacc.utexas.edu,1
c477-002.stampede2.tacc.utexas.edu,1
c477-003.stampede2.tacc.utexas.edu,3
c477-004.stampede2.tacc.utexas.edu,1
c477-011.stampede2.tacc.utexas.edu,5
c477-012.stampede2.tacc.utexas.edu,1
c477-013.stampede2.tacc.utexas.edu,2
c477-014.stampede2.tacc.utexas.edu,1
c477-021.stampede2.tacc.utexas.edu,3
c477-022.stampede2.tacc.utexas.edu,1
c477-023.stampede2.tacc.utexas.edu,2
c477-024.stampede2.tacc.utexas.edu,2
c477-031.stampede2.tacc.utexas.edu,1
c477-033.stampede2.tacc.utexas.edu,2
c477-034.stampede2.tacc.utexas.edu,1
c477-041.stampede2.tacc.utexas.edu,3
c477-042.stampede2.tacc.utexas.edu,2
c477-043.stampede2.tacc.utexas.edu,1
c477-044.stampede2.tacc.utexas.edu,3
c477-051.stampede2.tacc.utexas.edu,2
c477-052.stampede2.tacc.utexas.edu,1
c477-053.stampede2.tacc.utexas.edu,1
c477-054.stampede2.tacc.utexas.edu,3
c477-061.stampede2.tacc.utexas.edu,4
c477-062.stampede2.tacc.utexas.edu,3
c477-063.stampede2.tacc.utexas.edu,1
c477-064.stampede2.tacc.utexas.edu,2
c477-071.stampede2.tacc.utexas.edu,2
c477-072.stampede2.tacc.utexas.edu,1
c477-073.stampede2.tacc.utexas.edu,3
c477-074.stampede2.tacc.utexas.edu,1
c477-081.stampede2.tacc.utexas.edu,2
c477-082.stampede2.tacc.utexas.edu,1
c477-083.stampede2.tacc.utexas.edu,4
c477-084.stampede2.tacc.utexas.edu,1
c477-091.stampede2.tacc.utexas.edu,2
c477-092.stampede2.tacc.utexas.edu,1
c477-093.stampede2.tacc.utexas.edu,2
c477-094.stampede2.tacc.utexas.edu,1
c477-101.stampede2.tacc.utexas.edu,2
c477-102.stampede2.tacc.utexas.edu,2
c477-103.stampede2.tacc.utexas.edu,1
c477-104.stampede2.tacc.utexas.edu,4
c477-111.stampede2.tacc.utexas.edu,3
c477-112.stampede2.tacc.utexas.edu,3
c477-121.stampede2.tacc.utexas.edu,4
c477-122.stampede2.tacc.utexas.edu,2
c477-123.stampede2.tacc.utexas.edu,2
c477-124.stampede2.tacc.utexas.edu,3
c477-131.stampede2.tacc.utexas.edu,3
c477-132.stampede2.tacc.utexas.edu,1
c477-133.stampede2.tacc.utexas.edu,1
c477-134.stampede2.tacc.utexas.edu,2
c478-001.stampede2.tacc.utexas.edu,5
c478-002.stampede2.tacc.utexas.edu,5
c478-004.stampede2.tacc.utexas.edu,1
c478-011.stampede2.tacc.utexas.edu,2
c478-012.stampede2.tacc.utexas.edu,2
c478-014.stampede2.tacc.utexas.edu,2
c478-021.stampede2.tacc.utexas.edu,2
c478-031.stampede2.tacc.utexas.edu,4
c478-034.stampede2.tacc.utexas.edu,2
c478-042.stampede2.tacc.utexas.edu,1
c478-043.stampede2.tacc.utexas.edu,2
c478-044.stampede2.tacc.utexas.edu,1
c478-053.stampede2.tacc.utexas.edu,2
c478-062.stampede2.tacc.utexas.edu,1
c478-071.stampede2.tacc.utexas.edu,5
c478-074.stampede2.tacc.utexas.edu,2
c478-081.stampede2.tacc.utexas.edu,4
c478-082.stampede2.tacc.utexas.edu,3
c478-083.stampede2.tacc.utexas.edu,2
c478-084.stampede2.tacc.utexas.edu,1
c478-091.stampede2.tacc.utexas.edu,2
c478-092.stampede2.tacc.utexas.edu,1
c478-093.stampede2.tacc.utexas.edu,1
c478-101.stampede2.tacc.utexas.edu,1
c478-104.stampede2.tacc.utexas.edu,2
c478-112.stampede2.tacc.utexas.edu,2
c478-113.stampede2.tacc.utexas.edu,2
c478-114.stampede2.tacc.utexas.edu,2
c478-122.stampede2.tacc.utexas.edu,1
c478-123.stampede2.tacc.utexas.edu,2
c478-124.stampede2.tacc.utexas.edu,2
c478-131.stampede2.tacc.utexas.edu,2
c478-132.stampede2.tacc.utexas.edu,1
c478-133.stampede2.tacc.utexas.edu,1
c478-134.stampede2.tacc.utexas.edu,2
c479-001.stampede2.tacc.utexas.edu,3
c479-002.stampede2.tacc.utexas.edu,3
c479-011.stampede2.tacc.utexas.edu,2
c479-012.stampede2.tacc.utexas.edu,1
c479-013.stampede2.tacc.utexas.edu,1
c479-014.stampede2.tacc.utexas.edu,2
c479-021.stampede2.tacc.utexas.edu,2
c479-023.stampede2.tacc.utexas.edu,3
c479-024.stampede2.tacc.utexas.edu,1
c479-031.stampede2.tacc.utexas.edu,1
c479-032.stampede2.tacc.utexas.edu,1
c479-034.stampede2.tacc.utexas.edu,1
c479-042.stampede2.tacc.utexas.edu,2
c479-043.stampede2.tacc.utexas.edu,2
c479-054.stampede2.tacc.utexas.edu,1
c479-061.stampede2.tacc.utexas.edu,2
c479-062.stampede2.tacc.utexas.edu,1
c479-063.stampede2.tacc.utexas.edu,1
c479-064.stampede2.tacc.utexas.edu,2
c479-083.stampede2.tacc.utexas.edu,1
c479-084.stampede2.tacc.utexas.edu,2
c479-091.stampede2.tacc.utexas.edu,2
c479-092.stampede2.tacc.utexas.edu,3
c479-093.stampede2.tacc.utexas.edu,1
c479-101.stampede2.tacc.utexas.edu,2
c479-102.stampede2.tacc.utexas.edu,1
c479-103.stampede2.tacc.utexas.edu,1
c479-104.stampede2.tacc.utexas.edu,1
c479-111.stampede2.tacc.utexas.edu,2
c479-112.stampede2.tacc.utexas.edu,2
c479-114.stampede2.tacc.utexas.edu,2
c479-121.stampede2.tacc.utexas.edu,1
c479-123.stampede2.tacc.utexas.edu,1
c479-124.stampede2.tacc.utexas.edu,1
c479-131.stampede2.tacc.utexas.edu,3
c479-132.stampede2.tacc.utexas.edu,1
c479-133.stampede2.tacc.utexas.edu,1
c479-134.stampede2.tacc.utexas.edu,2
c480-001.stampede2.tacc.utexas.edu,1
c480-002.stampede2.tacc.utexas.edu,1
c480-003.stampede2.tacc.utexas.edu,2
c480-004.stampede2.tacc.utexas.edu,2
c480-011.stampede2.tacc.utexas.edu,1
c480-012.stampede2.tacc.utexas.edu,1
c480-013.stampede2.tacc.utexas.edu,2
c480-032.stampede2.tacc.utexas.edu,2
c480-033.stampede2.tacc.utexas.edu,3
c480-034.stampede2.tacc.utexas.edu,1
c480-041.stampede2.tacc.utexas.edu,1
c480-044.stampede2.tacc.utexas.edu,3
c480-052.stampede2.tacc.utexas.edu,1
c480-053.stampede2.tacc.utexas.edu,2
c480-061.stampede2.tacc.utexas.edu,1
c480-062.stampede2.tacc.utexas.edu,1
c480-063.stampede2.tacc.utexas.edu,1
c480-064.stampede2.tacc.utexas.edu,3
c480-072.stampede2.tacc.utexas.edu,3
c480-073.stampede2.tacc.utexas.edu,2
